;0;103;105;108;109;110;113;129;134;73;74;75;76;77;78;79;81;84;98
0;0;5072;6022;6972;7100;9506;8782;7290;8945;9745;9956;10147;12745;9360;9230;10209;9869;9617;15117
103;5072;0;950;1900;1880;4434;3710;3722;5377;6177;6388;6579;9177;5792;5662;6641;6301;6049;11549
105;6022;950;0;950;1078;3484;2220;4672;6327;7127;7338;7529;10127;6742;6612;7591;7251;6999;12499
108;6972;1900;950;0;2028;2534;1810;5622;7277;8077;8288;8479;11077;7692;7562;8541;8201;7949;13449
109;7100;1880;1078;2028;0;3254;3494;5750;7405;8205;8416;8607;11205;7820;7690;8669;8329;8077;13577
110;9506;4434;3484;2534;3254;0;240;8156;9811;10611;10822;11013;13611;10226;10096;11075;10735;10483;15983
113;8782;3710;2220;1810;3494;240;0;7432;9087;9887;10098;10289;12887;9502;9372;10351;10011;9759;15259
129;7290;3722;4672;5622;5750;8156;7432;0;1655;2455;2666;2857;5455;3306;3176;4155;3815;3563;9063
134;8945;5377;6327;7277;7405;9811;9087;1655;0;1570;2708;2899;4570;4961;4831;5810;5470;5218;10718
73;9745;6177;7127;8077;8205;10611;9887;2455;1570;0;1402;1046;3000;5761;5631;6610;6270;6018;11518
74;9956;6388;7338;8288;8416;10822;10098;2666;2708;1402;0;1269;4402;5972;5842;6821;6481;6229;11729
75;10147;6579;7529;8479;8607;11013;10289;2857;2899;1046;1269;0;4090;6683;6553;7532;7192;6940;12440
76;12745;9177;10127;11077;11205;13611;12887;5455;4570;3000;4402;4090;0;8761;8631;4342;4002;3750;7750
77;9360;5792;6742;7692;7820;10226;9502;3306;4961;5761;5972;6683;8761;0;130;2025;1685;1433;6933
78;9230;5662;6612;7562;7690;10096;9372;3176;4831;5631;5842;6553;8631;130;0;1895;1555;1303;6803
79;10209;6641;7591;8541;8669;11075;10351;4155;5810;6610;6821;7532;4342;2025;1895;0;340;592;6092
81;9869;6301;7251;8201;8329;10735;10011;3815;5470;6270;6481;7192;4002;1685;1555;340;0;252;5752
84;9617;6049;6999;7949;8077;10483;9759;3563;5218;6018;6229;6940;3750;1433;1303;592;252;0;5500
98;15117;11549;12499;13449;13577;15983;15259;9063;10718;11518;11729;12440;7750;6933;6803;6092;5752;5500;0
